Symbol,Price~,"Exp Date",Type,Strike,Moneyness,Bid,Ask,Volume,"Open Int",Vol/OI,"Imp Vol",Delta,Time
COST,1045.35,2025-05-30,Put,"1,035.00",-0.29%,4,4.65,630,109,5.78,22.15%,-0.448869,"11:04 ET"
TSLA,360.14,2025-05-30,Put,355.00,-2.11%,0.5,0.52,45927,7977,5.76,61.68%,-0.141805,"11:05 ET"
AI,26.71,2025-06-06,Call,28.50,-3.98%,0.46,0.49,3560,624,5.71,56.78%,0.316928,"11:07 ET"
TSLA,360.14,2025-05-30,Put,352.50,-2.80%,0.28,0.29,24681,4378,5.64,61.68%,-0.08463,"11:05 ET"
TLYS,1.12,2026-01-16,Call,2.5000,-115.52%,0.05,0.2,1010,180,5.61,203.64%,0.335034,"10:35 ET"
TSLA,360.14,2025-05-30,Call,360.00,+0.73%,4,4.05,85832,15378,5.58,61.68%,0.650424,"11:05 ET"
CAVA,79.33,2025-06-06,Put,80.00,-0.63%,1.95,2.1,868,158,5.49,49.38%,-0.46746,"11:03 ET"
CRWV,110.3,2025-05-30,Put,105.00,-2.55%,0.9,1,14161,2591,5.47,111.53%,-0.284569,"11:04 ET"
ORCL,163.38,2025-12-19,Call,240.00,-46.59%,2.02,2.08,1016,186,5.46,45.94%,0.108059,"10:49 ET"
UNH,302.51,2025-05-30,Put,302.50,-0.98%,0.97,1.43,2614,480,5.45,39.92%,-0.441018,"11:04 ET"
AMD,110.91,2025-05-30,Call,111.00,+0.60%,0.67,0.69,4657,860,5.42,41.59%,0.554672,"11:09 ET"
IONQ,40.47,2025-06-06,Put,35.00,-14.80%,0.3,0.35,1733,321,5.4,99.00%,-0.113124,"11:03 ET"
MSTR,366.11,2025-05-30,Call,372.50,-1.61%,0.86,0.9,5617,1059,5.3,59.40%,0.189444,"11:04 ET"
VRT,106.8,2025-06-06,Call,113.00,-5.32%,1.08,1.45,940,179,5.25,53.06%,0.240516,"10:49 ET"
LYB,56.48,2025-12-19,Call,70.00,-22.51%,1.45,1.55,1004,194,5.18,37.04%,0.210721,"11:04 ET"
PFE,23.51,2025-10-17,Put,20.00,-14.71%,0.45,0.48,700,136,5.15,26.57%,-0.178836,"10:12 ET"
BABA,113.62,2026-06-18,Put,115.00,+0.54%,16.25,16.8,1697,331,5.13,35.69%,-0.432796,"10:35 ET"
CRWV,110.3,2025-05-30,Call,106.00,+1.62%,2.45,3.1,1561,305,5.12,111.53%,0.655884,"11:04 ET"
ET,17.42,2025-06-13,Put,17.50,-0.40%,0.3,0.32,1000,196,5.1,24.94%,-0.497457,"10:48 ET"
CVNA,323.69,2025-05-30,Call,317.50,+2.29%,7.1,7.85,1108,221,5.01,51.34%,0.881103,"11:02 ET"
PDD,96.76,2025-05-30,Call,96.00,+1.08%,0.75,0.86,1166,233,5,37.01%,0.813795,"11:02 ET"
MSTR,366.11,2025-06-06,Call,362.50,+1.12%,12.85,13,1206,241,5,59.40%,0.553654,"11:04 ET"
TSLA,360.14,2025-05-30,Put,360.00,-0.73%,1.62,1.67,34260,6851,5,61.68%,-0.353198,"11:05 ET"
DELL,111.66,2025-05-30,Call,117.00,-3.97%,0.05,0.17,2404,486,4.95,40.85%,0.093621,"10:54 ET"
LLY,735.13,2025-05-30,Call,740.00,-0.82%,1.1,1.24,1913,388,4.93,42.44%,0.226845,"11:05 ET"
PLTR,129.54,2025-05-30,Put,130.00,+1.03%,0.88,0.94,6186,1259,4.91,58.38%,-0.376418,"11:05 ET"
NVDA,135.23,2025-06-06,Call,139.00,-1.32%,1.7,1.72,16448,3354,4.9,38.90%,0.363079,"11:05 ET"
META,643.25,2025-05-30,Call,647.50,-0.15%,1.05,1.11,4732,982,4.82,29.35%,0.297965,"11:04 ET"
AMD,110.91,2025-06-06,Call,114.00,-2.09%,1.32,1.34,6659,1382,4.82,41.59%,0.338936,"11:06 ET"
ENPH,40.21,2026-06-18,Put,40.00,-0.17%,9.05,10.15,1064,221,4.81,68.89%,-0.359838,"10:28 ET"
HTZ,6.71,2025-09-19,Put,5.50,-19.24%,0.85,0.95,818,171,4.78,105.09%,-0.256647,"10:56 ET"
COST,1045.35,2025-05-30,Call,"1,070.00",-3.08%,0.08,0.11,5102,1078,4.73,22.15%,0.017773,"11:04 ET"
TSLA,360.14,2025-05-30,Call,367.50,-1.33%,0.98,1,20043,4258,4.71,61.68%,0.242594,"11:05 ET"
NVDA,135.23,2025-05-30,Call,137.00,+0.14%,0.35,0.36,81978,17733,4.62,38.90%,0.324127,"11:05 ET"
HES,131.51,2026-01-16,Call,150.00,-13.39%,4.3,8.2,1000,217,4.61,28.46%,0.353067,"10:58 ET"
PDD,96.76,2025-06-06,Put,96.00,-1.08%,1.66,1.74,1235,268,4.61,37.01%,-0.432383,"11:04 ET"
NRGV,0.9395,2025-11-21,Call,1.0000,-5.86%,0,0.3,500,109,4.59,95.69%,0.616846,"10:16 ET"
HST,15.61,2025-06-20,Call,15.00,+4.15%,0.8,0.9,1518,335,4.53,28.36%,0.721237,"10:55 ET"
MSTR,366.11,2025-06-06,Put,255.00,-30.44%,0.38,0.45,2086,460,4.53,59.40%,-0.017016,"10:59 ET"
AMBA,52.16,2025-05-30,Put,52.00,-2.16%,0.4,0.65,564,125,4.51,50.37%,-0.34503,"11:08 ET"
DLTR,90.92,2025-05-30,Call,91.00,+0.22%,0.27,0.44,1025,228,4.5,52.64%,0.42467,"11:03 ET"
ULTA,469.6,2025-05-30,Call,485.00,-2.18%,0.45,0.75,1173,263,4.46,30.36%,0.128073,"11:04 ET"
TSLA,360.14,2025-06-06,Put,357.50,-1.42%,9.1,9.2,4625,1038,4.46,61.68%,-0.41329,"11:04 ET"
GAP,22.28,2025-07-18,Call,28.00,-23.35%,0.11,0.12,675,152,4.44,42.80%,0.081905,"11:04 ET"
DVN,30.5,2025-06-06,Put,30.50,-0.46%,0.61,0.65,852,192,4.44,36.99%,-0.465244,"10:55 ET"
MSTR,366.11,2025-05-30,Call,367.50,-0.25%,2.02,2.16,3323,749,4.44,59.40%,0.381244,"11:04 ET"
UNH,302.51,2025-05-30,Call,305.00,+0.16%,0.61,0.66,19688,4430,4.44,39.92%,0.295374,"11:04 ET"
BABA,113.62,2025-06-06,Put,109.00,-4.70%,0.53,0.56,947,215,4.4,35.69%,-0.175829,"11:08 ET"
CRWV,110.3,2025-06-27,Call,100.00,+7.19%,14.6,15.6,1028,235,4.37,111.53%,0.670334,"11:01 ET"
TEVA,17.08,2025-07-18,Put,18.00,+5.32%,1.35,1.5,830,191,4.35,39.23%,-0.643343,"09:39 ET"
FCX,38.37,2025-06-06,Call,39.00,-1.09%,0.66,0.69,3634,842,4.32,40.99%,0.422742,"10:59 ET"
LLY,735.13,2025-06-27,Call,760.00,-3.55%,23.55,25.25,608,142,4.28,42.44%,0.411284,"10:38 ET"
MRVL,60.53,2025-05-30,Call,62.00,-2.07%,0.1,0.15,5556,1304,4.26,54.51%,0.170602,"11:04 ET"
GDS,23.58,2025-06-20,Call,24.00,-2.61%,1.1,1.2,1028,242,4.25,66.53%,0.451307,"11:04 ET"
NVDA,135.23,2025-05-30,Put,136.00,-0.87%,0.57,0.58,75417,17763,4.25,38.90%,-0.449257,"11:05 ET"
OKLO,53.14,2025-06-06,Put,52.00,-3.27%,2.63,2.8,504,120,4.2,109.47%,-0.410109,"11:01 ET"
DG,97.71,2025-06-06,Call,100.00,-2.19%,3.35,3.5,1092,261,4.18,48.06%,0.437448,"10:59 ET"
PLTR,129.54,2025-05-30,Put,126.00,-2.08%,0.14,0.16,8080,1939,4.17,58.38%,-0.085087,"11:05 ET"
LYFT,15.27,2025-07-18,Call,15.00,+2.02%,1.26,1.28,17593,4216,4.17,48.58%,0.592101,"11:04 ET"
SMCI,39.8,2025-06-06,Call,42.50,-5.43%,0.72,0.75,21835,5232,4.17,71.14%,0.297452,"11:02 ET"
UPST,46.28,2025-06-06,Put,42.00,-9.05%,0.32,0.36,2236,537,4.16,68.35%,-0.138775,"10:59 ET"
CVNA,323.69,2025-05-30,Call,327.50,-0.79%,0.88,1.08,1138,276,4.12,51.34%,0.296939,"11:01 ET"
JD,32.42,2025-06-06,Put,31.00,-4.88%,0.23,0.25,1324,324,4.09,39.92%,-0.215645,"11:04 ET"
TSLA,360.14,2025-05-30,Put,357.50,-1.42%,0.92,0.95,20709,5102,4.06,61.68%,-0.231312,"11:05 ET"
MRVL,60.53,2025-06-20,Call,62.00,-2.07%,2.63,2.69,1078,266,4.05,54.51%,0.464801,"10:59 ET"
FI,161.03,2025-06-20,Call,165.00,-2.21%,2.45,2.55,1660,411,4.04,27.01%,0.367961,"11:03 ET"
TSLA,360.14,2025-06-06,Put,355.00,-2.11%,8,8.1,9740,2408,4.04,61.68%,-0.379427,"11:05 ET"
COST,1045.35,2025-06-06,Call,"1,040.00",-0.19%,11.8,13,634,158,4.01,22.15%,0.475391,"11:02 ET"
BABA,113.62,2025-06-06,Call,115.00,-0.54%,1.84,1.91,854,213,4.01,35.69%,0.447401,"11:08 ET"
BABA,113.62,2025-06-06,Call,114.00,+0.33%,2.3,2.38,572,143,4,35.69%,0.51709,"11:05 ET"
LVWR,4.55,2025-07-18,Call,5.00,-7.76%,0.55,0.95,639,160,3.99,208.51%,0.542572,"10:59 ET"
PLTR,129.54,2025-06-06,Put,130.00,+1.03%,4.1,4.2,1990,501,3.97,58.38%,-0.443958,"11:05 ET"
TTWO,225.97,2025-06-06,Call,227.50,-1.02%,2.15,2.3,506,128,3.95,26.22%,0.397355,"10:45 ET"
NVDA,135.23,2025-06-20,Put,160.00,+16.63%,23.75,23.95,1124,285,3.94,38.90%,-0.97492,"11:02 ET"
CRWV,110.3,2025-05-30,Put,106.00,-1.62%,1.15,1.25,1499,380,3.94,111.53%,-0.350013,"11:04 ET"
PCT,9.5,2025-06-06,Call,10.00,-4.17%,0.3,0.35,649,165,3.93,69.58%,0.398372,"10:41 ET"
COST,1045.35,2025-05-30,Call,"1,060.00",-2.12%,0.22,0.29,3259,838,3.89,22.15%,0.041005,"11:03 ET"
MRVL,60.53,2025-06-06,Put,53.00,-12.74%,0.11,0.13,1698,439,3.87,54.51%,-0.055988,"11:02 ET"
DOW,27.82,2025-07-18,Call,25.00,+10.55%,3.6,3.7,502,130,3.86,40.26%,0.731533,"10:21 ET"
TSLA,360.14,2025-05-30,Put,362.50,-0.04%,2.68,2.74,11884,3084,3.85,61.68%,-0.497775,"11:05 ET"
ULTA,469.6,2025-05-30,Call,490.00,-3.24%,0.25,0.35,1333,348,3.83,30.36%,0.066497,"11:04 ET"
CFLT,22.7,2025-10-17,Call,24.00,-6.34%,2.8,2.9,1500,395,3.8,51.50%,0.523179,"10:15 ET"
U,27.36,2025-05-30,Call,28.00,-4.95%,0.15,0.16,2991,789,3.79,83.90%,0.194875,"11:04 ET"
BABA,113.62,2025-05-30,Put,113.00,-1.21%,0.13,0.15,2559,683,3.75,35.69%,-0.192333,"11:07 ET"
TSLA,360.14,2025-05-30,Call,362.50,+0.04%,2.63,2.69,42880,11455,3.74,61.68%,0.502631,"11:05 ET"
DELL,111.66,2025-05-30,Call,116.00,-3.08%,0.1,0.17,2962,794,3.73,40.85%,0.099901,"11:05 ET"
NVDA,135.23,2025-06-13,Call,139.00,-1.32%,2.91,2.93,6697,1804,3.71,38.90%,0.414864,"11:04 ET"
RUN,7.34,2025-08-15,Call,9.00,-23.63%,0.99,1.05,5125,1393,3.68,121.59%,0.457131,"10:58 ET"
DIS,112.41,2025-06-06,Call,116.00,-3.02%,0.25,0.28,1310,357,3.67,21.68%,0.15761,"10:50 ET"
ZTS,168.78,2025-07-18,Put,165.00,-1.88%,4.4,5,514,141,3.65,25.22%,-0.390008,"10:55 ET"
DJT,21.73,2025-06-20,Call,21.00,-2.19%,1.55,1.62,2427,673,3.61,93.17%,0.504634,"11:00 ET"
TSLA,360.14,2025-06-06,Put,360.00,-0.73%,10.25,10.35,8308,2299,3.61,61.68%,-0.447291,"11:05 ET"
CGC,1.39,2025-06-20,Call,1.5000,-9.89%,0.11,0.12,636,177,3.59,128.39%,0.435837,"10:50 ET"
TSLA,360.14,2025-05-30,Call,357.50,+1.42%,5.8,5.95,44306,12346,3.59,61.68%,0.773761,"11:05 ET"
TSLA,360.14,2025-06-06,Call,357.50,+1.42%,14.3,14.4,6112,1715,3.56,61.68%,0.587524,"11:05 ET"
NFLX,1195.36,2025-06-06,Call,"1,270.00",-6.72%,0.64,0.78,526,148,3.55,26.80%,0.041772,"11:03 ET"
MSTR,366.11,2025-06-20,Call,515.00,-40.48%,0.98,1.05,1005,286,3.51,59.40%,0.039302,"10:56 ET"
NVDA,135.23,2025-06-27,Put,142.00,+3.51%,8.85,8.95,737,213,3.46,38.90%,-0.629394,"10:53 ET"
VRT,106.8,2025-06-06,Put,95.00,-11.45%,0.21,0.26,782,226,3.46,53.06%,-0.062096,"10:57 ET"
PLTR,129.54,2025-06-06,Call,131.00,-1.81%,5.05,5.1,3633,1050,3.46,58.38%,0.523763,"11:05 ET"
MRVL,60.53,2025-06-06,Call,59.00,+2.86%,2.75,2.96,538,156,3.45,54.51%,0.652189,"10:37 ET"
TIGR,7.86,2025-06-20,Call,9.00,-14.21%,0.11,0.13,2151,623,3.45,53.87%,0.204311,"11:02 ET"
TSLA,360.14,2025-05-30,Call,355.00,+2.11%,7.9,8,29425,8650,3.4,61.68%,0.858472,"11:05 ET"
CCL,23.04,2025-06-06,Call,24.50,-6.11%,0.08,0.09,2421,714,3.39,47.64%,0.137,"10:17 ET"
BE,18.69,2027-01-15,Put,20.00,+6.72%,5.7,6.8,1148,341,3.37,65.55%,-0.342322,"10:29 ET"
MRVL,60.53,2025-05-30,Call,59.00,+2.86%,1.43,1.77,1379,411,3.36,54.51%,0.985706,"10:55 ET"
RUN,7.34,2025-09-19,Call,10.00,-37.36%,0.94,0.98,5034,1497,3.36,121.59%,0.415501,"10:45 ET"
NFLX,1195.36,2025-06-06,Call,"1,250.00",-5.04%,1.63,1.73,1816,546,3.33,26.80%,0.088852,"11:04 ET"
COST,1045.35,2025-05-30,Put,"1,012.50",-2.46%,0.24,0.38,640,193,3.32,22.15%,-0.049801,"10:51 ET"
EOSE,4.16,2025-06-27,Call,5.00,-19.33%,0.21,0.26,870,262,3.32,103.25%,0.345424,"11:00 ET"
RRGB,5.15,2025-06-20,Call,7.50,-45.91%,0.2,0.25,1270,383,3.32,119.04%,0.215204,"11:00 ET"
BOX,37.66,2025-06-20,Put,34.00,-9.38%,0.05,0.15,520,159,3.27,22.43%,-0.077887,"11:00 ET"
NEE,69.77,2025-06-06,Call,70.00,-0.78%,0.54,0.65,1043,319,3.27,29.28%,0.402114,"11:04 ET"
INTC,19.73,2025-06-06,Call,19.50,+2.06%,0.64,0.67,1112,340,3.27,43.66%,0.614264,"11:03 ET"
BABA,113.62,2025-06-06,Put,112.00,-2.08%,1.26,1.28,2488,762,3.27,35.69%,-0.339801,"11:08 ET"
RUN,7.34,2025-08-15,Put,4.00,-45.05%,0.28,0.32,4216,1298,3.25,121.59%,-0.104647,"11:02 ET"
PLTR,129.54,2025-06-06,Put,127.00,-1.30%,2.85,2.93,2490,772,3.23,58.38%,-0.344724,"11:04 ET"
UNH,302.51,2025-05-30,Call,302.50,+0.98%,1.5,1.81,7094,2203,3.22,39.92%,0.5699,"11:04 ET"
TSLA,360.14,2025-05-30,Put,350.00,-3.49%,0.17,0.18,38059,11929,3.19,61.68%,-0.051298,"11:05 ET"
NTES,121.3,2025-07-18,Call,130.00,-6.99%,3,3.2,639,201,3.18,33.61%,0.324992,"10:44 ET"
NFLX,1195.36,2025-05-30,Call,"1,202.50",-1.05%,0.47,0.55,533,168,3.17,26.80%,0.109094,"11:00 ET"
LLY,735.13,2025-05-30,Call,735.00,-0.14%,2.43,2.88,1083,342,3.17,42.44%,0.420602,"11:02 ET"
EOSE,4.16,2025-06-20,Call,4.50,-7.40%,0.21,0.33,5775,1819,3.17,103.25%,0.450568,"10:55 ET"
AMC,3.42,2025-12-19,Call,4.50,-28.94%,0.7,0.73,9296,2928,3.17,104.35%,0.503454,"11:08 ET"
MSTR,366.11,2025-05-30,Call,370.00,-0.93%,1.33,1.4,8645,2744,3.15,59.40%,0.275881,"11:04 ET"
COST,1045.35,2025-05-30,Call,"1,045.00",-0.67%,1.45,1.89,1519,486,3.13,22.15%,0.243215,"11:04 ET"
AMD,110.91,2025-06-06,Call,111.00,+0.60%,2.6,2.62,1837,587,3.13,41.59%,0.528656,"11:07 ET"
AI,26.71,2025-05-30,Put,27.00,-1.50%,0.2,0.23,3607,1157,3.12,56.78%,-0.416791,"11:07 ET"
MGM,31.71,2025-07-18,Put,29.00,-8.78%,0.69,0.72,982,317,3.1,36.64%,-0.239312,"10:58 ET"
MSTR,366.11,2025-05-30,Put,365.00,-0.43%,2.92,3.1,4714,1528,3.09,59.40%,-0.496906,"11:04 ET"
AAPL,198.88,2025-05-30,Put,197.50,-0.97%,0.2,0.21,22801,7390,3.09,30.35%,-0.188292,"11:08 ET"
GAP,22.28,2025-06-06,Put,21.50,-5.29%,0.27,0.3,660,214,3.08,42.80%,-0.276156,"11:00 ET"
YPF,35.58,2025-10-17,Call,42.00,-16.28%,2.1,2.2,518,170,3.05,43.92%,0.35909,"10:46 ET"
MRVL,60.53,2025-05-30,Call,60.00,+1.22%,0.83,1.01,8195,2689,3.05,54.51%,0.677452,"11:04 ET"
PLTR,129.54,2025-06-20,Put,129.00,+0.26%,6.4,6.45,1494,492,3.04,58.38%,-0.422933,"11:03 ET"
TSLA,360.14,2025-05-30,Call,365.00,-0.65%,1.64,1.66,50399,16579,3.04,61.68%,0.359208,"11:05 ET"
PLTR,129.54,2025-05-30,Put,125.00,-2.85%,0.1,0.11,15668,5209,3.01,58.38%,-0.057964,"11:05 ET"
ANET,85.42,2027-01-15,Put,80.00,-6.50%,13.4,15.5,500,167,2.99,40.93%,-0.318057,"10:44 ET"
U,27.36,2025-06-13,Call,28.00,-4.95%,1.36,1.46,735,247,2.98,83.90%,0.431053,"10:56 ET"
U,27.36,2025-05-30,Call,27.00,-1.20%,0.35,0.36,4611,1545,2.98,83.90%,0.392799,"11:04 ET"
MSTR,366.11,2025-05-30,Call,375.00,-2.29%,0.58,0.62,10932,3670,2.98,59.40%,0.13653,"11:04 ET"
OKLO,53.14,2025-06-06,Call,60.00,-11.61%,1.28,1.38,5699,1922,2.97,109.47%,0.268865,"11:03 ET"
SMCI,39.8,2025-06-06,Call,47.00,-16.60%,0.18,0.19,10287,3486,2.95,71.14%,0.089115,"11:04 ET"
U,27.36,2025-08-15,Call,40.00,-49.93%,0.98,1.04,3183,1082,2.94,83.90%,0.202988,"11:04 ET"
