Symbol,Price~,"Exp Date",Type,Strike,Moneyness,Bid,Ask,Volume,"Open Int",Vol/OI,"Imp Vol",Delta,Time
LUV,34.24,2025-11-21,Call,37.50,-9.62%,2.08,2.13,1470,147,10,34.31%,0.408228,"10:15 ET"
SU,37.96,2025-07-18,Put,38.00,+0.29%,1.05,1.15,1919,198,9.69,15.02%,-0.487825,"11:15 ET"
SU,37.96,2025-07-18,Put,34.00,-10.27%,0.15,0.2,1831,196,9.34,15.02%,-0.104389,"11:49 ET"
COIN,254.53,2025-08-15,Call,250.00,+1.19%,27.6,27.95,16837,1900,8.86,50.93%,0.588302,"11:50 ET"
HOOD,72.07,2025-08-15,Call,105.00,-47.47%,1.68,1.74,1641,189,8.68,64.02%,0.160778,"11:45 ET"
DIS,119.64,2025-06-13,Put,117.00,-1.00%,0.35,0.41,851,100,8.51,20.38%,-0.251591,"11:50 ET"
IBM,276.2,2025-08-15,Put,275.00,+0.09%,13.45,13.65,1030,125,8.24,22.29%,-0.460497,"11:48 ET"
QUBT,15.68,2025-06-13,Call,16.50,-4.30%,0.6,0.7,2368,289,8.19,126.07%,0.403422,"11:50 ET"
MBLY,16.19,2025-06-13,Call,16.00,+1.17%,0.49,0.81,1591,196,8.12,59.17%,0.679378,"11:43 ET"
TSLA,318.14,2025-06-13,Put,315.00,-0.95%,7.2,7.25,33570,4252,7.9,62.49%,-0.41551,"11:51 ET"
NFLX,1187.99,2025-06-13,Call,"1,190.00",-0.44%,13.85,14.5,1496,190,7.87,26.78%,0.50502,"11:51 ET"
AES,11.22,2025-06-13,Call,11.50,-2.40%,0.15,0.2,2680,347,7.72,51.49%,0.363358,"11:37 ET"
SU,37.96,2025-07-18,Call,40.00,-5.57%,0.4,0.45,1813,235,7.71,15.02%,0.255984,"11:13 ET"
VKTX,29,2025-06-13,Call,31.00,-5.87%,0.33,0.48,881,115,7.66,70.54%,0.292752,"11:25 ET"
CHWY,45.34,2025-06-13,Call,46.50,-3.17%,1.63,1.69,904,118,7.66,55.29%,0.44177,"11:25 ET"
CHWY,45.34,2025-06-13,Call,52.00,-15.38%,0.33,0.39,8235,1085,7.59,55.29%,0.1361,"11:47 ET"
META,697.93,2025-07-25,Call,735.00,-5.95%,14.95,15.4,1002,134,7.48,28.39%,0.337229,"10:47 ET"
NBR,34.5,2025-07-18,Call,40.00,-15.51%,1.45,1.6,1000,136,7.35,75.54%,0.328823,"11:26 ET"
HUN,12.15,2025-08-15,Call,13.00,-6.73%,0.7,0.75,3510,484,7.25,51.86%,0.415055,"11:44 ET"
TFC,40.8,2025-07-03,Call,41.00,-0.27%,0.89,0.97,1070,148,7.23,24.35%,0.484135,"09:35 ET"
CAH,152.52,2025-07-18,Put,150.00,-1.59%,3.2,3.5,1331,186,7.16,21.05%,-0.38936,"11:46 ET"
PG,162.77,2025-08-15,Call,170.00,-4.32%,2.21,2.36,10182,1429,7.13,17.50%,0.299878,"11:51 ET"
NFLX,1187.99,2025-06-13,Call,"1,220.00",-2.97%,3.95,4.3,1630,231,7.06,26.78%,0.207995,"11:51 ET"
TSLA,318.14,2025-06-13,Call,312.50,+1.74%,12.4,12.5,17328,2458,7.05,62.49%,0.630294,"11:50 ET"
TGT,101.79,2025-06-20,Call,107.00,-4.65%,0.79,0.83,1003,143,7.01,34.01%,0.231615,"11:51 ET"
APLD,12.8,2025-10-17,Call,16.00,-25.98%,2.24,2.28,2056,294,6.99,119.40%,0.494338,"11:47 ET"
JOBY,9.35,2025-06-27,Put,8.50,-8.01%,0.25,0.3,1774,257,6.9,76.37%,-0.285525,"11:41 ET"
PAAS,28.38,2025-06-20,Put,29.00,+2.69%,1.1,1.2,1046,152,6.88,38.04%,-0.596569,"11:41 ET"
GOOGL,180.15,2025-06-13,Call,182.50,-1.93%,1.09,1.11,45969,6710,6.85,26.89%,0.314068,"11:51 ET"
GOOG,181.65,2025-07-03,Call,195.00,-7.97%,1.03,1.07,1579,238,6.63,26.72%,0.163349,"11:50 ET"
VFC,12.92,2025-06-27,Call,13.50,-3.05%,0.4,0.43,1006,153,6.58,56.82%,0.407364,"11:47 ET"
WMB,58.86,2025-06-20,Call,59.00,-0.29%,0.65,0.8,3044,467,6.52,23.42%,0.483739,"11:19 ET"
AMD,123,2025-06-13,Put,123.00,+1.12%,2.86,2.89,4938,760,6.5,40.28%,-0.542586,"11:51 ET"
URGN,6.96,2025-07-18,Call,12.50,-80.64%,0.6,0.8,891,138,6.46,280.27%,0.311683,"10:07 ET"
HUN,12.15,2025-08-15,Call,15.00,-23.15%,0.2,0.3,3500,546,6.41,51.86%,0.180153,"11:14 ET"
KSS,9.6,2025-06-13,Call,10.00,-5.04%,0.1,0.11,8398,1317,6.38,51.90%,0.266478,"11:50 ET"
GOOG,181.65,2025-12-19,Call,190.00,-5.20%,14.1,14.2,10440,1641,6.36,26.72%,0.496333,"11:50 ET"
SMR,34.88,2025-06-20,Call,38.00,-10.30%,1.28,1.37,1230,195,6.31,93.35%,0.352963,"11:51 ET"
RXRX,5.68,2025-06-20,Call,6.50,-16.28%,0.2,0.25,4323,689,6.27,105.02%,0.317908,"11:50 ET"
NFLX,1187.99,2025-06-13,Put,"1,182.50",-0.19%,9.85,10.4,2039,326,6.25,26.78%,-0.408545,"11:51 ET"
ELF,117.86,2025-06-13,Call,123.00,-3.87%,0.86,0.99,859,139,6.18,51.61%,0.258673,"11:19 ET"
DIS,119.64,2025-06-13,Call,120.00,-1.54%,0.45,0.49,4154,674,6.16,20.38%,0.303893,"11:51 ET"
PATH,13.31,2025-06-13,Call,13.50,-1.20%,0.15,0.18,9825,1617,6.08,37.44%,0.40002,"11:49 ET"
COF,199.75,2025-06-13,Call,210.00,-5.13%,0,0.35,1024,171,5.99,30.71%,0.078597,"11:25 ET"
NBIS,50.89,2025-06-20,Call,52.00,-4.19%,2.35,2.5,1253,211,5.94,88.34%,0.450149,"11:51 ET"
SJM,96.26,2025-06-20,Put,95.00,-2.27%,1.05,1.2,1161,196,5.92,26.04%,-0.328201,"11:50 ET"
TSLA,318.14,2025-06-13,Put,310.00,-2.52%,5.2,5.25,35130,5968,5.89,62.49%,-0.331498,"11:51 ET"
GOOGL,180.15,2025-06-13,Call,187.50,-4.72%,0.27,0.28,9546,1636,5.83,26.89%,0.10132,"11:51 ET"
RKLB,27.89,2025-07-03,Call,28.00,-1.16%,2,2.1,1404,246,5.71,72.62%,0.529453,"11:43 ET"
GOOGL,180.15,2025-06-13,Call,185.00,-3.32%,0.54,0.55,35613,6246,5.7,26.89%,0.181208,"11:51 ET"
APP,380.61,2025-07-03,Call,420.00,-9.38%,12.1,12.9,1263,222,5.69,63.95%,0.333151,"11:24 ET"
SNDK,41.38,2025-12-19,Call,45.00,-10.13%,5.5,5.9,1000,177,5.65,55.93%,0.520654,"11:08 ET"
MU,114.69,2025-07-03,Call,120.00,-5.78%,4.55,4.7,3179,568,5.6,56.38%,0.40366,"11:49 ET"
TGT,101.79,2025-06-13,Put,102.00,-0.24%,1.31,1.39,700,128,5.47,34.01%,-0.460166,"11:50 ET"
NFLX,1187.99,2025-06-27,Call,"1,205.00",-1.70%,21.35,22.15,793,145,5.47,26.78%,0.436308,"11:46 ET"
STX,128.04,2025-06-20,Put,105.00,-18.19%,0,0.3,3500,640,5.47,31.89%,-0.047597,"11:14 ET"
HOOD,72.07,2025-12-19,Call,45.00,+36.80%,30.8,30.95,1063,199,5.34,64.02%,0.879267,"10:01 ET"
TSLA,318.14,2025-06-20,Call,317.50,+0.17%,14.05,14.15,4805,905,5.31,62.49%,0.542647,"11:51 ET"
GOOG,181.65,2025-06-13,Call,182.50,-1.05%,1.61,1.64,19529,3681,5.31,26.72%,0.416902,"11:51 ET"
LCID,2.22,2025-07-25,Put,2.00,-9.91%,0.13,0.15,604,114,5.3,81.56%,-0.293363,"11:26 ET"
RIVN,14.35,2025-07-11,Call,15.50,-8.01%,0.54,0.59,820,155,5.29,58.04%,0.366914,"11:47 ET"
LNG,229.54,2026-01-16,Put,240.00,+4.99%,23.5,24.2,650,123,5.28,26.65%,-0.526981,"10:28 ET"
KHC,26.69,2025-06-27,Call,27.00,-1.01%,0.37,0.4,2061,395,5.22,21.93%,0.410508,"11:12 ET"
NBIS,50.89,2025-06-20,Put,47.00,-5.83%,1.55,1.65,1596,312,5.12,88.34%,-0.299901,"11:51 ET"
TSLA,318.14,2025-06-13,Put,317.50,-0.17%,8.3,8.4,9853,1925,5.12,62.49%,-0.45888,"11:51 ET"
HSY,168.68,2025-08-15,Put,150.00,-10.93%,2,4,1006,198,5.08,24.64%,-0.188073,"10:03 ET"
TSLA,318.14,2025-06-13,Call,315.00,+0.95%,10.95,11.05,59216,11689,5.07,62.49%,0.586429,"11:51 ET"
TSLA,318.14,2025-06-13,Put,307.50,-3.31%,4.35,4.45,9243,1831,5.05,62.49%,-0.292385,"11:51 ET"
ASO,44.15,2025-06-13,Call,49.00,-9.77%,0.05,0.35,740,152,4.87,41.68%,0.079269,"11:03 ET"
NVO,79.91,2025-12-19,Call,90.00,-13.25%,6.75,6.9,1228,255,4.82,46.47%,0.415733,"11:40 ET"
DOW,30.57,2025-12-19,Put,20.00,-34.53%,0.54,0.58,4397,912,4.82,38.02%,-0.091226,"11:19 ET"
QUBT,15.68,2025-06-20,Call,17.00,-7.46%,0.8,0.9,903,188,4.8,126.07%,0.397347,"11:51 ET"
KO,72.21,2025-07-11,Call,73.00,-1.09%,0.78,0.88,2176,461,4.72,16.39%,0.404318,"11:50 ET"
HPQ,25.6,2025-06-13,Call,25.50,+0.43%,0.2,0.24,2447,523,4.68,29.19%,0.551388,"11:41 ET"
MSTR,390.16,2025-09-19,Put,30.00,-92.25%,0.1,0.16,860,184,4.67,52.17%,-0.000751,"10:02 ET"
NFLX,1187.99,2025-06-27,Call,"1,200.00",-1.28%,23.35,24.3,1829,392,4.67,26.78%,0.465487,"11:51 ET"
GTLB,48.12,2025-06-13,Call,57.00,-18.38%,0.7,0.8,743,160,4.64,74.39%,0.183186,"11:44 ET"
BABA,120.33,2025-06-27,Call,141.00,-17.34%,0.43,0.44,1012,219,4.62,37.05%,0.077154,"10:13 ET"
PDD,101.3,2025-06-27,Put,97.00,-4.35%,1.31,1.36,514,112,4.59,36.73%,-0.264564,"11:24 ET"
DDOG,120.65,2025-06-13,Call,127.00,-5.60%,0,0.28,587,128,4.59,35.76%,0.127517,"10:49 ET"
CCL,24.34,2026-01-16,Put,21.00,-14.00%,1.57,1.59,593,130,4.56,45.52%,-0.27283,"11:44 ET"
CELH,42.84,2025-06-13,Put,43.00,+0.82%,0.95,1.01,534,119,4.49,51.65%,-0.528795,"11:46 ET"
CRWV,152.8,2025-06-13,Put,122.00,-19.43%,0.55,0.65,726,162,4.48,129.93%,-0.056718,"11:50 ET"
VG,16.66,2025-08-15,Call,25.00,-50.42%,0.4,0.5,3290,735,4.48,89.12%,0.156646,"11:40 ET"
BMEA,2.63,2025-06-20,Put,2.50,-4.58%,0.1,0.2,1002,224,4.47,118.47%,-0.358595,"11:36 ET"
C,77.9,2025-06-20,Call,81.00,-4.17%,0.22,0.23,2504,568,4.41,24.35%,0.150387,"11:22 ET"
SJM,96.26,2025-07-18,Call,105.00,-8.01%,0.65,0.7,572,130,4.4,26.04%,0.167264,"11:48 ET"
GRPN,31.34,2025-06-13,Call,30.00,+3.88%,1.75,1.95,500,114,4.39,64.59%,0.766963,"11:06 ET"
NVTS,8.25,2025-06-13,Put,8.00,+3.63%,0.6,0.7,1557,356,4.37,130.53%,-0.506425,"11:47 ET"
ARCT,13.22,2025-07-18,Call,15.00,-12.95%,0.95,1.35,554,127,4.36,104.62%,0.430651,"10:55 ET"
PG,162.77,2025-08-15,Put,155.00,-4.88%,2.41,2.53,10075,2311,4.36,17.50%,-0.270337,"11:51 ET"
PLNT,101.34,2025-07-18,Call,115.00,-13.33%,0.3,0.4,503,117,4.3,27.62%,0.084349,"11:28 ET"
LMND,40.88,2025-06-13,Call,39.00,+3.70%,2.25,2.45,2014,469,4.29,75.24%,0.716582,"11:29 ET"
QUBT,15.68,2025-06-13,Call,17.00,-7.46%,0.45,0.55,8622,2014,4.28,126.07%,0.335346,"11:51 ET"
META,697.93,2025-06-13,Call,702.50,-1.27%,5.8,5.95,2355,562,4.19,28.39%,0.402398,"11:49 ET"
QUBT,15.68,2025-06-13,Call,18.00,-13.78%,0.3,0.4,2196,529,4.15,126.07%,0.254181,"11:50 ET"
TSM,212.01,2025-06-13,Put,210.00,-0.27%,2.31,2.35,1922,464,4.14,31.24%,-0.432098,"11:48 ET"
ARM,139.51,2025-06-13,Call,145.00,-5.46%,0.8,0.83,4943,1197,4.13,47.44%,0.200761,"11:51 ET"
GOOG,181.65,2025-06-13,Call,185.00,-2.43%,0.82,0.83,24818,6004,4.13,26.72%,0.254789,"11:51 ET"
CORZ,12.67,2025-08-15,Call,10.00,+21.01%,3.2,3.3,1236,301,4.11,72.69%,0.8126,"11:45 ET"
PLTR,131.61,2025-06-13,Put,133.00,+1.95%,3.75,3.85,3995,978,4.08,54.84%,-0.560129,"11:50 ET"
GTLB,48.12,2025-06-13,Call,52.00,-8.00%,1.8,1.9,1206,296,4.07,74.39%,0.3646,"11:51 ET"
FDX,227.18,2025-07-18,Call,260.00,-14.36%,2.18,2.31,1861,460,4.05,43.84%,0.159075,"11:36 ET"
VRT,108.78,2025-06-13,Put,104.00,-4.33%,0.66,0.93,1108,274,4.04,48.69%,-0.208891,"11:28 ET"
NVTS,8.25,2025-06-13,Call,8.50,-10.10%,0.3,0.35,3211,794,4.04,130.53%,0.359375,"11:51 ET"
MPC,164.08,2025-10-17,Call,165.00,-0.74%,12.5,12.8,503,125,4.02,30.00%,0.537454,"11:24 ET"
XOM,107.39,2025-06-13,Put,106.00,-1.31%,0.4,0.44,684,172,3.98,22.70%,-0.276737,"11:45 ET"
MS,131.94,2025-06-13,Call,132.00,-0.35%,1.18,1.22,902,227,3.97,25.52%,0.468166,"11:39 ET"
SMR,34.88,2025-06-20,Put,35.00,+1.60%,2.31,2.51,1115,282,3.95,93.35%,-0.461735,"11:32 ET"
ASTS,35.18,2025-09-19,Call,32.00,+7.75%,7.65,7.8,508,129,3.94,89.78%,0.673604,"11:26 ET"
MS,131.94,2025-06-13,Put,132.00,+0.35%,1.43,1.48,872,225,3.88,25.52%,-0.533985,"11:24 ET"
WBD,9.84,2025-08-15,Put,9.00,-8.16%,0.4,0.52,1247,321,3.88,46.01%,-0.309472,"11:47 ET"
TSLA,318.14,2026-06-18,Put,15.00,-95.28%,0.12,0.14,1530,394,3.88,62.49%,-0.000841,"11:44 ET"
PEP,131.19,2025-06-20,Call,132.00,-0.65%,1.58,1.65,4858,1253,3.88,21.54%,0.435236,"11:51 ET"
NFLX,1187.99,2025-06-13,Call,"1,210.00",-2.13%,6.15,6.65,815,212,3.84,26.78%,0.294431,"11:50 ET"
NVO,79.91,2025-12-19,Call,75.00,+5.62%,13.15,13.4,1201,313,3.84,46.47%,0.624824,"10:41 ET"
MU,114.69,2025-06-13,Put,112.00,-1.27%,1.12,1.15,1759,462,3.81,56.38%,-0.332941,"11:51 ET"
TSLA,318.14,2025-06-13,Call,322.50,-1.41%,7.3,7.4,12661,3321,3.81,62.49%,0.453035,"11:51 ET"
NBIS,50.89,2025-06-13,Call,51.00,-2.18%,1.7,1.8,799,212,3.77,88.34%,0.468181,"11:45 ET"
CIEN,71.39,2025-10-17,Call,85.00,-19.18%,2.95,3.1,1343,358,3.75,37.86%,0.303613,"11:45 ET"
VERA,22.6,2025-07-18,Call,25.00,-10.67%,1.1,1.2,5548,1489,3.73,68.84%,0.374721,"11:47 ET"
TSLA,318.14,2025-06-13,Call,320.00,-0.62%,8.3,8.4,90876,24416,3.72,62.49%,0.496815,"11:51 ET"
NE,28.81,2027-01-15,Call,50.00,-73.07%,1.7,2.2,1500,409,3.67,43.59%,0.247606,"11:08 ET"
GOOG,181.65,2025-06-13,Put,177.50,-1.72%,0.79,0.81,4095,1117,3.67,26.72%,-0.241366,"11:48 ET"
APA,19.55,2025-06-13,Call,19.50,+0.66%,0.39,0.47,8583,2369,3.62,40.15%,0.576391,"11:49 ET"
GOOGL,180.15,2025-06-13,Call,180.00,-0.53%,2.06,2.08,76482,21256,3.6,26.89%,0.486192,"11:51 ET"
VST,163.94,2025-11-21,Call,210.00,-28.78%,10.75,11.15,600,167,3.59,52.32%,0.3297,"11:22 ET"
NFLX,1187.99,2025-06-13,Put,"1,180.00",-0.41%,8.9,9.2,4196,1170,3.59,26.78%,-0.379975,"11:50 ET"
NFLX,1187.99,2025-06-13,Call,"1,205.00",-1.70%,7.55,8.15,648,181,3.58,26.78%,0.340505,"11:51 ET"
MGM,33.24,2026-12-18,Call,60.00,-80.29%,0.85,1.1,647,181,3.57,33.13%,0.149294,"11:32 ET"
MSTR,390.16,2025-06-13,Call,410.00,-5.89%,1.6,1.66,14006,3921,3.57,52.17%,0.160955,"11:51 ET"
CRSP,43.43,2025-06-13,Call,47.00,-7.45%,0.25,0.35,955,268,3.56,63.96%,0.17662,"11:22 ET"
NIO,3.7,2026-01-16,Put,2.50,-32.61%,0.2,0.22,4001,1127,3.55,56.41%,-0.148305,"09:45 ET"
META,697.93,2025-09-19,Call,"1,300.00",-87.40%,0.1,0.13,881,249,3.54,28.39%,0.003044,"10:49 ET"
TGT,101.79,2025-06-13,Put,100.00,-2.20%,0.59,0.64,660,187,3.53,34.01%,-0.25879,"11:51 ET"
TSLA,318.14,2027-12-17,Put,200.00,-37.11%,40.1,40.4,5791,1644,3.52,62.49%,-0.149558,"11:51 ET"
MU,114.69,2025-06-20,Put,115.00,+1.38%,3.5,3.65,1253,358,3.5,56.38%,-0.53078,"11:50 ET"
IBM,276.2,2025-06-13,Call,280.00,-1.91%,0.73,0.84,1269,366,3.47,22.29%,0.227644,"11:51 ET"
META,697.93,2025-06-13,Call,732.50,-5.59%,0.52,0.54,592,171,3.46,28.39%,0.057635,"11:50 ET"
CORZ,12.67,2025-06-13,Put,12.50,-1.26%,0.31,0.34,510,148,3.45,72.69%,-0.414772,"11:33 ET"
IREN,10.37,2026-06-18,Call,12.00,-16.73%,2.88,2.98,2000,580,3.45,80.70%,0.613576,"11:45 ET"
SEZL,118.43,2025-06-20,Call,120.00,-4.80%,4.4,5.7,551,160,3.44,80.05%,0.44104,"11:50 ET"
PRMB,28.77,2025-07-18,Put,27.50,-5.14%,0.7,0.8,1646,478,3.44,37.14%,-0.313227,"11:51 ET"
PYPL,74.49,2025-06-13,Put,74.00,-0.83%,0.56,0.58,1812,529,3.43,28.70%,-0.371546,"11:50 ET"
TIGR,8.4,2025-07-03,Call,8.50,-1.07%,0.41,0.45,542,159,3.41,57.09%,0.50197,"11:26 ET"
RXRX,5.68,2025-06-13,Call,6.50,-16.28%,0.05,0.15,3034,890,3.41,105.02%,0.233098,"11:51 ET"
CCJ,63.47,2025-06-13,Call,64.00,-1.28%,0.83,0.9,527,155,3.4,39.94%,0.442293,"11:51 ET"
QBTS,17.28,2025-06-13,Call,22.50,-30.59%,0.05,0.15,1027,305,3.37,117.71%,0.078414,"10:15 ET"
LLY,797.51,2025-06-13,Call,790.00,+0.75%,12.85,13.95,784,234,3.35,39.01%,0.563345,"11:40 ET"
NBIS,50.89,2025-06-13,Call,54.00,-8.19%,0.8,0.9,3308,988,3.35,88.34%,0.271884,"11:35 ET"
QUBT,15.68,2025-06-20,Call,16.50,-4.30%,0.95,1.05,603,182,3.31,126.07%,0.454267,"11:48 ET"
GOOG,181.65,2025-06-13,Call,187.50,-3.81%,0.39,0.4,5637,1704,3.31,26.72%,0.140283,"11:51 ET"
LNG,229.54,2026-01-16,Put,210.00,-8.14%,10.5,11.2,651,197,3.3,26.65%,-0.290011,"10:28 ET"
IBM,276.2,2025-07-18,Put,270.00,-1.73%,5.15,5.3,2095,634,3.3,22.29%,-0.368726,"11:48 ET"
APP,380.61,2025-06-20,Call,405.00,-5.47%,9.2,9.7,510,155,3.29,63.95%,0.354442,"11:51 ET"
MPW,4.57,2025-09-19,Call,5.50,-20.09%,0.14,0.17,651,198,3.29,37.84%,0.26654,"11:02 ET"
XOM,107.39,2025-06-20,Put,106.00,-1.31%,0.86,0.9,1040,317,3.28,22.70%,-0.343802,"11:50 ET"
PLTR,131.61,2025-07-03,Put,131.00,+0.41%,6.7,6.85,567,174,3.26,54.84%,-0.45368,"11:48 ET"
TSLA,318.14,2025-06-20,Put,317.50,-0.17%,12.5,12.6,2427,745,3.26,62.49%,-0.458277,"11:51 ET"
RKLB,27.89,2025-06-13,Put,27.00,-2.46%,0.47,0.6,3258,1007,3.24,72.62%,-0.328405,"11:51 ET"
NVTS,8.25,2025-06-13,Call,10.00,-29.53%,0.1,0.2,1901,588,3.23,130.53%,0.172359,"11:44 ET"
TSLA,318.14,2025-07-03,Put,320.00,+0.62%,20.7,20.9,2394,744,3.22,62.49%,-0.470593,"11:47 ET"
NFLX,1187.99,2025-06-13,Put,"1,197.50",+1.07%,16.85,17.9,746,233,3.2,26.78%,-0.586612,"11:47 ET"
TTD,71.94,2025-06-27,Put,69.00,-4.31%,1.18,1.24,504,158,3.19,42.25%,-0.283118,"10:24 ET"
EPD,32.07,2025-06-20,Call,32.50,-1.66%,0.14,0.16,1717,540,3.18,17.57%,0.277225,"11:41 ET"
DVN,33.77,2025-06-13,Put,32.50,-3.82%,0.11,0.12,793,251,3.16,33.39%,-0.15626,"11:16 ET"
PLTR,131.61,2025-06-13,Call,133.00,-1.95%,2.32,2.39,15974,5058,3.16,54.84%,0.43895,"11:51 ET"
TSLA,318.14,2025-06-13,Put,302.50,-4.88%,3.05,3.15,6321,2006,3.15,62.49%,-0.22244,"11:51 ET"
AMD,123,2025-06-13,Put,117.00,-3.81%,0.66,0.67,6408,2037,3.15,40.28%,-0.189668,"11:47 ET"
AMD,123,2025-06-13,Call,123.00,-1.12%,2.11,2.12,15744,5005,3.15,40.28%,0.459407,"11:51 ET"
MARA,16.35,2026-09-18,Call,23.00,-42.24%,3.95,4.1,2500,797,3.14,68.36%,0.540684,"10:28 ET"
PDD,101.3,2025-11-21,Put,100.00,-1.39%,9.6,9.75,2970,945,3.14,36.73%,-0.404808,"10:27 ET"
TERN,4.24,2026-01-16,Call,5.00,-18.20%,1,3.8,1686,538,3.13,81.48%,0.594123,"11:51 ET"
XOM,107.39,2025-06-20,Call,113.00,-5.20%,0.14,0.16,512,164,3.12,22.70%,0.088699,"11:51 ET"
SPOT,681.29,2025-06-20,Call,725.00,-7.07%,3.25,3.7,528,169,3.12,38.74%,0.152789,"11:50 ET"
GRAB,4.7,2025-06-27,Put,4.50,-4.05%,0.05,0.1,1070,343,3.12,44.12%,-0.30979,"11:32 ET"
CVNA,332.23,2025-06-13,Call,342.50,-2.75%,2.5,2.66,520,169,3.08,47.92%,0.286492,"11:50 ET"
RILY,3.27,2025-06-20,Call,3.00,+9.09%,0.35,0.39,2805,912,3.08,126.31%,0.696764,"11:47 ET"
